have            ,-æv          ,
are             ,-ɑr          ,
can             ,-æn          ,
know            ,-oʊ          ,
all             ,-ɔl          ,
here            ,-ir          ,
just            ,-əst         ,
there           ,-ɜr          ,
like            ,-aɪk         ,
get             ,-ɛt          ,
come            ,-əm          ,
right           ,-aɪt         ,
about           ,-aʊt         ,
one             ,-ən          ,
out             ,-aʊt         ,
now             ,-aʊ          ,
will            ,-ɪl          ,
want            ,-ɑnt         ,
see             ,-i           ,
good            ,-ʊd          ,
why             ,-aɪ          ,
let             ,-ɛt          ,
who             ,-u           ,
think           ,-ɪŋk         ,
well            ,-ɛl          ,
going           ,-oʊɪŋ        ,
time            ,-aɪm         ,
take            ,-eɪk         ,
look            ,-ʊk          ,
back            ,-æk          ,
an              ,-ɑn          ,
okay            ,-ə           ,
then            ,-ɛn          ,
man             ,-ɑn          ,
some            ,-əm          ,
say             ,-eɪ          ,
tell            ,-ɛl          ,
more            ,-oʊr         ,
down            ,-aʊn         ,
am              ,-æm          ,
need            ,-id          ,
very            ,-ɛri         ,
way             ,-eɪ          ,
make            ,-eɪk         ,
love            ,-əv          ,
people          ,-ipəl        ,
give            ,-ɪv          ,
please          ,-iz          ,
only            ,-oʊnli       ,
sorry           ,-ɑri         ,
over            ,-oʊvər       ,
said            ,-ɑɪd         ,
off             ,-ɔf          ,
little          ,-ɪtəl        ,
two             ,-u           ,
mean            ,-in          ,
even            ,-ivən        ,
much            ,-ətʃ         ,
thank           ,-æŋk         ,
any             ,-ɛni         ,
god             ,-ɑd          ,
stop            ,-ɑp          ,
help            ,-ɛlp         ,
sure            ,-ʊr          ,
life            ,-aɪf         ,
nothing         ,-əθɪŋ        ,
first           ,-ɜrst        ,
day             ,-eɪ          ,
thing           ,-ɪŋ          ,
work            ,-ɜrk         ,
call            ,-ɔl          ,
still           ,-ɪl          ,
wait            ,-eɪt         ,
won             ,-ən          ,
find            ,-aɪnd        ,
home            ,-oʊm         ,
must            ,-əst         ,
great           ,-eɪt         ,
away            ,-eɪ          ,
after           ,-æftər       ,
sir             ,-ɜr          ,
other           ,-əðər        ,
talk            ,-ɔk          ,
money           ,-əni         ,
leave           ,-iv          ,
put             ,-ʊt          ,
night           ,-aɪt         ,
new             ,-u           ,
thought         ,-ɔt          ,
better          ,-ɛtər        ,
long            ,-ɔŋ          ,
hello           ,-oʊ          ,
father          ,-ɑðər        ,
name            ,-eɪm         ,
last            ,-æst         ,
keep            ,-ip          ,
shit            ,-ɪt          ,
old             ,-oʊld        ,
feel            ,-il          ,
girl            ,-ɜrl         ,
nice            ,-is          ,
big             ,-ɪɡ          ,
fuck            ,-ək          ,
place           ,-eɪs         ,
dad             ,-æd          ,
guy             ,-aɪ          ,
fine            ,-aɪn         ,
believe         ,-iv          ,
mother          ,-əðər        ,
today           ,-eɪ          ,
made            ,-eɪd         ,
stay            ,-eɪ          ,
world           ,-ɜrld        ,
wrong           ,-ɔŋ          ,
bad             ,-æd          ,
listen          ,-ɪsən        ,
someone         ,-əmər        ,
house           ,-aʊs         ,
coming          ,-əmɪŋ        ,
done            ,-ən          ,
left            ,-ɛft         ,
understand      ,-ænd         ,
remember        ,-ɛmbər       ,
every           ,-ɛvri        ,
son             ,-ən          ,
lot             ,-ɑt          ,
ask             ,-æsk         ,
three           ,-i           ,
enough          ,-əf          ,
show            ,-oʊ          ,
hear            ,-ir          ,
mom             ,-ɑm          ,
another         ,-əðər        ,
same            ,-eɪm         ,
car             ,-ɑr          ,
course          ,-oʊrs        ,
kind            ,-aɪnd        ,
many            ,-ɛni         ,
kill            ,-ɪl          ,
care            ,-ɜr          ,
being           ,-iɪŋ         ,
try             ,-aɪ          ,
may             ,-eɪ          ,
next            ,-ɛkst        ,
hell            ,-ɛl          ,
friend          ,-ɛnd         ,
dead            ,-ɛd          ,
own             ,-oʊn         ,
boy             ,-ɔɪ          ,
through         ,-u           ,
woman           ,-ʊmən        ,
brother         ,-əðər        ,
live            ,-aɪv         ,
move            ,-uv          ,
real            ,-ɑl          ,
baby            ,-eɪbi        ,
best            ,-ɛst         ,
saw             ,-ɔ           ,
together        ,-ɛðər        ,
found           ,-aʊnd        ,
morning         ,-ɔrnɪŋ       ,
mind            ,-aɪnd        ,
job             ,-oʊb         ,
might           ,-aɪt         ,
problem         ,-ɑbləm       ,
tomorrow        ,-ɔroʊ        ,
play            ,-eɪ          ,
happy           ,-æpi         ,
family          ,-æməli       ,
room            ,-um          ,
hold            ,-oʊld        ,
school          ,-ul          ,
days            ,-eɪz         ,
head            ,-ɛd          ,
such            ,-ətʃ         ,
alone           ,-oʊn         ,
most            ,-oʊst        ,
ready           ,-ɛdi         ,
wife            ,-aɪf         ,
meet            ,-it          ,
year            ,-ir          ,
bit             ,-ɪt          ,
die             ,-i           ,
open            ,-oʊpən       ,
bring           ,-ɪŋ          ,
eat             ,-it          ,
run             ,-ən          ,
start           ,-ɑt          ,
hard            ,-ɑrd         ,
idea            ,-iə          ,
haven           ,-eɪvən       ,
miss            ,-ɪs          ,
lost            ,-ɔst         ,
later           ,-eɪtər       ,
trying          ,-aɪɪŋ        ,
whole           ,-oʊl         ,
bye             ,-aɪ          ,
matter          ,-ætər        ,
while           ,-aɪl         ,
worry           ,-ɜri         ,
door            ,-oʊr         ,
end             ,-ɛnd         ,
turn            ,-ɜrn         ,
men             ,-ɛn          ,
pretty          ,-ɪti         ,
gone            ,-ɔn          ,
sit             ,-ɪt          ,
face            ,-eɪs         ,
heart           ,-ɑrt         ,
damn            ,-æm          ,
pay             ,-eɪ          ,
forget          ,-ɛt          ,
saying          ,-eɪɪŋ        ,
police          ,-is          ,
beautiful       ,-utəfəl      ,
watch           ,-ɑtʃ         ,
anyone          ,-ən          ,
tonight         ,-aɪt         ,
shut            ,-ət          ,
each            ,-itʃ         ,
TRUE            ,-u           ,
ago             ,-oʊ          ,
both            ,-oʊθ         ,
phone           ,-oʊn         ,
crazy           ,-eɪzi        ,
hand            ,-ænd         ,
few             ,-u           ,
guess           ,-ɛs          ,
water           ,-ɔtər        ,
late            ,-eɪt         ,
hope            ,-oʊp         ,
drink           ,-ɪŋk         ,
business        ,-ɪznɪs       ,
change          ,-eɪndʒ       ,
young           ,-əŋ          ,
sleep           ,-ip          ,
easy            ,-izi         ,
kid             ,-ɪd          ,
second          ,-ɛkənd       ,
cause           ,-ɔz          ,
five            ,-aɪv         ,
inside          ,-aɪd         ,
hit             ,-ɪt          ,
person          ,-ɜrsən       ,
stuff           ,-əf          ,
thinking        ,-ɪŋkɪŋ       ,
case            ,-eɪs         ,
ass             ,-æs          ,
happen          ,-æpən        ,
part            ,-ɑrt         ,
different       ,-ɪfərənt     ,
check           ,-ɛk          ,
whatever        ,-ɛvər        ,
mine            ,-aɪn         ,
music           ,-uzɪk        ,
death           ,-ɛθ          ,
working         ,-ɜrkɪŋ       ,
sister          ,-ɪstər       ,
number          ,-əmbər       ,
cut             ,-ət          ,
daughter        ,-ɔtər        ,
speak           ,-ik          ,
doctor          ,-ɑktər       ,
far             ,-ɑr          ,
four            ,-oʊr         ,
nobody          ,-oʊbədi      ,
read            ,-id          ,
important       ,-ɔrtənt      ,
body            ,-ɑdi         ,
close           ,-oʊs         ,
under           ,-əndər       ,
minute          ,-ɪnɪt        ,
story           ,-oʊri        ,
fun             ,-ən          ,
taking          ,-eɪkɪŋ       ,
married         ,-ærid        ,
hurt            ,-ɜrt         ,
buy             ,-aɪ          ,
hurry           ,-ɜri         ,
afraid          ,-eɪd         ,
somebody        ,-ɑdi         ,
child           ,-aɪld        ,
means           ,-inz         ,
dog             ,-ɔɡ          ,
stupid          ,-upɪd        ,
point           ,-ɔɪnt        ,
deal            ,-il          ,
party           ,-ɑrti        ,
week            ,-ik          ,
fight           ,-aɪt         ,
least           ,-ist         ,
set             ,-ɛt          ,
rest            ,-ɛst         ,
game            ,-eɪm         ,
bitch           ,-ɪtʃ         ,
high            ,-aɪ          ,
half            ,-æf          ,
cool            ,-ul          ,
word            ,-ɜrd         ,
making          ,-eɪkɪŋ       ,
become          ,-əm          ,
moment          ,-oʊmənt      ,
stand           ,-ænd         ,
wish            ,-ɪʃ          ,
husband         ,-əzbənd      ,
side            ,-aɪd         ,
fire            ,-aɪər        ,
walk            ,-ɔk          ,
free            ,-i           ,
welcome         ,-ɛlkəm       ,
break           ,-eɪk         ,avoid
blood           ,-əd          ,
dear            ,-ir          ,
truth           ,-uθ          ,
chance          ,-æns         ,
honey           ,-əni         ,
behind          ,-aɪnd        ,
food            ,-ud          ,
country         ,-əntri       ,
city            ,-ɪti         ,
bed             ,-ɛd          ,
hot             ,-ɑt          ,
boss            ,-ɑs          ,
war             ,-ɑR          ,
supposed        ,-oʊzd        ,
jesus           ,-izəs        ,
shot            ,-ɑt          ,
funny           ,-əni         ,
