absolute   ,-ut   ,
ace        ,-eɪs  ,
achieve    ,-iv   ,
add        ,-æd   ,
address    ,-ɛs   ,
admire     ,-aɪər ,
admit      ,-ɪt   ,
affect     ,-ɛkt  ,
affection  ,-ɛkʃən,
afraid     ,-eɪd  ,
afternoon  ,-un   ,
ago        ,-oʊ   ,
agree      ,-i    ,
agreed     ,-id   ,
ahead      ,-ɛd   ,
aid        ,-eɪd  ,
aim        ,-eɪm  ,
air        ,-ɜr   ,
airplane   ,-eɪn  ,
airport    ,-oʊrt ,
alert      ,-ɜrt  ,
alike      ,-aɪk  ,
alive      ,-aɪv  ,
all        ,-ɔl   ,
allow      ,-aʊ   ,
alone      ,-oʊn  ,
alright    ,-aɪt  ,
am         ,-æm   ,
anyone     ,-ən   ,
apart      ,-ɑrt  ,
appeal     ,-il   ,
appear     ,-ir   ,
apply      ,-aɪ   ,
are        ,-ɑr   ,
arrest     ,-ɛst  ,
arrive     ,-aɪv  ,
art        ,-ɑrt  ,
aside      ,-aɪd  ,
asleep     ,-ip   ,
assume     ,-um   ,
assure     ,-ʊr   ,
atmosphere ,-ir   ,
attack     ,-æk   ,
attend     ,-ɛnd  ,
audition   ,-ɪʃən ,
awake      ,-eɪk  ,
aware      ,-ɜr   ,
away       ,-eɪ   ,
back       ,-æk   ,
background ,-aʊnd ,
bad        ,-æd   ,
bail       ,-eɪl  ,
ball       ,-ɔl   ,
band       ,-ænd  ,
bar        ,-ɑr   ,
base       ,-eɪs  ,
baseball   ,-ɔl   ,
basketball ,-ɔl   ,
bass       ,-æs   ,
bat        ,-æt   ,
bathroom   ,-um   ,
bay        ,-eɪ   ,
bear       ,-ɜr   ,
beat       ,-it   ,
become     ,-əm   ,
bed        ,-ɛd   ,
bedroom    ,-um   ,
bee        ,-i    ,
beef       ,-if   ,
beep       ,-ip   ,
begin      ,-ɪn   ,
behave     ,-eɪv  ,
behind     ,-aɪnd ,
believe    ,-iv   ,
bell       ,-ɛl   ,
belong     ,-ɔŋ   ,
ben        ,-ɛn   ,
bend       ,-ɛnd  ,
berlin     ,-ɪn   ,
best       ,-ɛst  ,
bet        ,-ɛt   ,
beth       ,-ɛt   ,
betray     ,-eɪ   ,
bike       ,-aɪk  ,
bill       ,-ɪl   ,
bin        ,-ɪn   ,
birthday   ,-eɪ   ,
bit        ,-ɪt   ,
bite       ,-aɪt  ,
black      ,-æk   ,
blade      ,-eɪd  ,
blame      ,-eɪm  ,
bless      ,-ɛs   ,
blind      ,-aɪnd ,
block      ,-ɑk   ,
blown      ,-oʊn  ,
blue       ,-u    ,
boat       ,-oʊt  ,
bone       ,-oʊn  ,
boo        ,-u    ,
boom       ,-um   ,
bound      ,-aʊnd ,
bow        ,-aʊ   ,
bowl       ,-oʊl  ,
boy        ,-ɔɪ   ,
boyfriend  ,-ɛnd  ,
brad       ,-æd   ,
brain      ,-eɪn  ,
brand      ,-ænd  ,
brat       ,-æt   ,
brave      ,-eɪv  ,
brazil     ,-ɪl   ,
bread      ,-ɛd   ,
break      ,-eɪk  ,
breeze     ,-iz   ,
bride      ,-aɪd  ,
brief      ,-if   ,
bright     ,-aɪt  ,
bring      ,-ɪŋ   ,
broke      ,-oʊk  ,
brown      ,-aʊn  ,
buck       ,-ək   ,
bunny      ,-əni  ,
burn       ,-ɜrn  ,
bury       ,-ɛri  ,
butterfly  ,-aɪ   ,
buy        ,-aɪ   ,
bye        ,-aɪ   ,
cake       ,-eɪk  ,
call       ,-ɔl   ,
calm       ,-ɑm   ,
campaign   ,-eɪn  ,
can        ,-æn   ,
cap        ,-æp   ,
car        ,-ɑr   ,
care       ,-ɜr   ,
career     ,-ir   ,
case       ,-eɪs  ,
cat        ,-æt   ,
cave       ,-eɪv  ,
celebrate  ,-eɪt  ,
cell       ,-ɛl   ,
chain      ,-eɪn  ,
chair      ,-ɜr   ,
champagne  ,-eɪn  ,
chase      ,-eɪs  ,
chat       ,-æt   ,
cheap      ,-ip   ,
cheat      ,-it   ,
checked    ,-ɛkt  ,
cheese     ,-iz   ,
cherry     ,-ɛri  ,
chest      ,-ɛst  ,
chick      ,-ɪk   ,
chief      ,-if   ,
chill      ,-ɪl   ,
chin       ,-ɪn   ,
chinese    ,-iz   ,
chip       ,-ɪp   ,
chop       ,-ɑp   ,
chuck      ,-ək   ,
claim      ,-eɪm  ,
clan       ,-æn   ,
class      ,-æs   ,
clean      ,-in   ,
clear      ,-ir   ,
climb      ,-aɪm  ,
clock      ,-ɑk   ,
clown      ,-aʊn  ,
clue       ,-u    ,
coast      ,-oʊst ,
coat       ,-oʊt  ,
cold       ,-oʊld ,
cole       ,-oʊl  ,
collection ,-ɛkʃən,
come       ,-əm   ,
command    ,-ænd  ,
commission ,-ɪʃən ,
commit     ,-ɪt   ,
compare    ,-ɜr   ,
complain   ,-eɪn  ,
complete   ,-it   ,
con        ,-ɑn   ,
concentrate,-eɪt  ,
concern    ,-ɜrn  ,
condition  ,-ɪʃən ,
confess    ,-ɛs   ,
connect    ,-ɛkt  ,
connection ,-ɛkʃən,
content    ,-ɛnt  ,
control    ,-oʊl  ,
cop        ,-ɑp   ,
core       ,-oʊr  ,
correct    ,-ɛkt  ,
court      ,-oʊrt ,
cousin     ,-æn   ,
cow        ,-aʊ   ,
cowboy     ,-ɔɪ   ,
crane      ,-eɪn  ,
cream      ,-im   ,
create     ,-eɪt  ,
creation   ,-eɪʃən,
crew       ,-u    ,
crime      ,-aɪm  ,
crown      ,-aʊn  ,
cry        ,-aɪ   ,
cure       ,-ʊr   ,
curse      ,-ɜrs  ,
cute       ,-ut   ,
dad        ,-æd   ,
dale       ,-eɪl  ,
dare       ,-ɜr   ,
date       ,-eɪt  ,
day        ,-eɪ   ,
days       ,-eɪz  ,
deal       ,-il   ,
dean       ,-in   ,
dear       ,-ir   ,
debt       ,-ɛt   ,
decide     ,-aɪd  ,
deep       ,-ip   ,
defeat     ,-it   ,
defend     ,-ɛnd  ,
defense    ,-ɛns  ,
degree     ,-i    ,
delay      ,-eɪ   ,
demand     ,-ænd  ,
deny       ,-aɪ   ,
depressed  ,-ɛst  ,
desert     ,-ɜrt  ,
design     ,-aɪn  ,
designed   ,-aɪnd ,
desire     ,-aɪər ,
despite    ,-aɪt  ,
dessert    ,-ɜrt  ,
destroy    ,-ɔɪ   ,
